CALLS,,PUTS
,OI,CHNG IN OI,VOLUME,IV,LTP,CHNG,BID QTY,BID,ASK,ASK QTY,STRIKE,BID QTY,BID,ASK,ASK QTY,CHNG,LTP,IV,VOLUME,CHNG IN OI,OI,
,14,-,18,-,"2,088.00",-128.40,75,"1,985.65","2,215.25",75,"23,750.00",-,-,0.05,"3,450",-0.50,0.05,47.28,"95,762","-5,864","26,637",
,5,-,6,95.04,"2,069.25",-79.75,75,"2,035.60","2,234.95",75,"23,800.00",-,-,0.05,"21,375",-0.50,0.05,46.19,"76,739","-5,451","24,407",
,2,-,-,-,-,-,75,"1,887.55","2,142.55",75,"23,850.00",-,-,0.05,"4,350",-0.60,0.05,45.09,"63,045","1,972","4,292",
,1,-,-,-,-,-,75,"1,840.10","2,105.45",75,"23,900.00",-,-,0.05,"18,150",-0.60,0.05,43.99,"58,170","1,935","6,137",
,2,-,-,-,-,-,75,"1,788.90","2,056.30",75,"23,950.00",-,-,0.05,"1,875",-0.65,0.05,42.89,"48,136",-550,"2,584",
,420,-235,456,-,"1,840.65",-126.20,450,"1,838.50","1,886.20",75,"24,000.00",-,-,0.05,"63,975",-0.65,0.05,41.80,"1,38,583","-2,086","26,152",
,4,-,3,92.06,"1,830.00",-179.70,75,"1,696.65","1,976.70",75,"24,050.00",-,-,0.05,"9,900",-0.65,0.05,40.70,"35,125",-544,"1,852",
,1,-,1,-,"1,650.00",-257.00,75,"1,609.75","1,801.10",75,"24,100.00",-,-,0.05,"3,075",-0.65,0.05,39.61,"51,537","1,129","4,662",
,543,542,544,52.57,"1,695.85",-245.20,75,"1,558.45","1,723.20",75,"24,150.00",-,-,0.05,750,-0.65,0.05,38.51,"49,986",-335,"1,869",
,1,-,-,-,-,-,75,"1,519.60","1,802.45",75,"24,200.00",-,-,0.05,750,-0.65,0.05,37.42,"63,247",-467,"6,133",
,11,-,-,-,-,-,75,"1,413.15","1,714.85",75,"24,250.00",-,-,0.05,"2,400",-0.75,0.05,36.32,"56,503",-834,"1,699",
,12,-1,10,-,"1,541.00",-124.00,75,"1,399.85","1,726.70",75,"24,300.00",-,-,0.05,"8,550",-0.70,0.05,35.23,"77,625",431,"5,568",
,2,-,-,-,-,-,75,"1,385.65","1,654.10",75,"24,350.00",-,-,0.05,"1,800",-0.70,0.10,35.98,"56,858",-627,"1,274",
,17,1,28,-,"1,438.00",-112.00,75,"1,436.65","1,609.95",75,"24,400.00",-,-,0.05,"12,525",-0.80,0.05,33.04,"1,88,338","2,951","6,300",
,3,-8,10,84.45,"1,450.00",-204.00,75,"1,276.65","1,562.25",75,"24,450.00",-,-,0.05,"1,800",-0.75,0.10,33.69,"88,225","1,530","3,521",
,95,-66,145,-,"1,338.85",-116.15,150,"1,338.40","1,348.50",75,"24,500.00",-,-,0.05,"1,30,575",-0.75,0.05,30.86,"3,60,574","8,376","40,907",
,7,-,4,70.98,"1,330.00",-205.65,75,"1,168.55","1,428.60",75,"24,550.00",-,-,0.05,"9,450",-0.85,0.05,29.76,"1,08,010",809,"2,755",
,12,-12,25,-,"1,237.00",-113.00,75,"1,237.15","1,243.15",75,"24,600.00",-,-,0.05,"2,475",-0.80,0.05,28.67,"1,33,981","-2,097","6,076",
,12,-12,24,76.79,"1,254.00",-194.00,75,"1,064.15","1,331.50",75,"24,650.00",-,-,0.05,"2,325",-0.85,0.05,27.57,"1,44,917","-1,336","3,393",
,29,-6,20,-,"1,143.95",-111.40,75,"1,137.25","1,142.85",75,"24,700.00",-,-,0.05,"15,450",-0.85,0.05,26.48,"2,28,119","-2,472","13,191",
